Артикул;Категория;"Производитель
(на русском)";"Производитель
(на английском)";"Страна
(на русском)";"Страна
(на английском)";"Регион 
(на русском)";"Регион 
(на английском)";"Субрегион 
(на русском)";"Субрегион  
(на английском)";"Место (аппелласьон) 
на русском";"Место (аппелласьон) 
на английском";"Название вина 
(на русском)";"Название вина 
(на английском)";"Цвет 
(на русском)";"Выдержка в дубе 
(Да, Нет, Частично)";Моносепаж/Купаж;"Сорт винограда
(на русском)";Сахар;Тип вина;"Био-сертификат 
(если есть)";Винтажная/Невинтажная продукция;Содержание алкоголя, %;Объем, л;Год * 
1;Вино;Клаус Лангхофф;Klaus Langhoff;Германия;Germany;Райнхессен;Rheinhessen;;;;;Молоко любимой женщины;Liebfraumilch;белое;;купаж;белые сорта винограда;Полусладкое;Тихое;;Винтажная;12;0,75;"2017
2016
2015
2013"
2;Вино;Жозеф Вердье;Joseph Verdier;Франция;France;;;;;;;Лё Шабро;Le Chabrot;Красное;Нет;Купаж;красные сорта винограда;Сухое;Тихое;;Невинтажная;11;0,75;-
3;Вино;Жозеф Вердье;Joseph Verdier;Франция;France;;;;;;;Лё Шабро;Le Chabrot;белое;Нет;Купаж;белые сорта винограда;Сухое;Тихое;;Невинтажная;11;0,75;-
4;Вино;Жозеф Вердье;Joseph Verdier;Франция;France;;;;;;;Кюве Спесьаль Вердье;Cuvee Speciale Verdier;белое;Нет;Купаж;белые сорта винограда;Сухое;Тихое;;Невинтажная;11;0,75;-
5;Вино;Жозеф Вердье;Joseph Verdier;Франция;France;;;;;;;Кюве Спесьаль Вердье;Cuvee Speciale Verdier;Красное;Нет;Купаж;красные сорта винограда;Сухое;Тихое;;Невинтажная;11;0,75;-
6;Вино;Жозеф Вердье;Joseph Verdier;Франция;France;;;;;;;Кюве Спесьаль Вердье;Cuvee Speciale Verdier;Красное;Нет;Купаж;красные сорта винограда;Полусладкое;Тихое;;Невинтажная;11;0,75;-
7;Вино;Жозеф Вердье;Joseph Verdier;Франция;France;;;;;;;Кюве Спесьаль Вердье;Cuvee Speciale Verdier;белое;Нет;Купаж;белые сорта винограда;Полусладкое;Тихое;;Невинтажная;11;0,75;-
8;Вино;Анекуп;Anecoop;Испания;Spain;Валенсия;Valencia;Валенсия;Valencia;Валенсия;Valencia;Вина Тендида;Vina Tendida;Красное;Нет;Купаж;"Гарнача Тинторерра
Москатель";Полусухое;Тихое;;Винтажная;12;0,75;"2016
2015
2014"
9;Вино;Анекуп;Anecoop;Испания;Spain;Валенсия;Valencia;Валенсия;Valencia;Валенсия;Valencia;Вина Тендида;Vina Tendida;белое;Нет;Купаж;"гарнача бланка
москатель";Полусладкое;Тихое;;Винтажная;12;0,75;"2018
2016
2015
2014"
10;Вино;Анекуп;Anecoop;Испания;Spain;Валенсия;Valencia;Валенсия;Valencia;Валенсия;Valencia;Вина Тендида;Vina Tendida;белое;Нет;Моносепаж;москатель;Полусладкое;Тихое;;Винтажная;12;0,75;"2018
2016
2015
2014"
11;Вино;Черубино Вальсанжиакомо;Cherubino Valsangiacomo;Испания;Spain;-;-;-;-;-;-;Карранк;Carranc;белое;Нет;Купаж;белые сорта винограда;Полусладкое;Тихое;;Невинтажная;11,5;0,75;-
12;Вино;Черубино Вальсанжиакомо;Cherubino Valsangiacomo;Испания;Spain;-;-;-;-;-;-;Карранк;Carranc;Красное;Нет;Купаж;красные сорта винограда;Полусладкое;Тихое;;Невинтажная;11,5;0,75;-
